Rank,Movie-Name,Rating
1,The Shawshank Redemption,9.2
2,The Godfather,9.1
3,The Godfather: Part II,9.0
4,The Dark Knight,9.0
5,12 Angry Men,8.9
6,Schindler's List,8.9
7,The Lord of the Rings: The Return of the King,8.9
8,Pulp Fiction,8.8
9,"Il buono, il brutto, il cattivo",8.8
10,The Lord of the Rings: The Fellowship of the Ring,8.8
11,Fight Club,8.8
12,Forrest Gump,8.7
13,Inception,8.7
14,The Lord of the Rings: The Two Towers,8.7
15,Star Wars: Episode V - The Empire Strikes Back,8.7
16,The Matrix,8.6
17,Goodfellas,8.6
18,One Flew Over the Cuckoo's Nest,8.6
19,Shichinin no samurai,8.6
20,Se7en,8.6
21,The Silence of the Lambs,8.6
22,Cidade de Deus,8.6
23,La vita è bella,8.6
24,It's a Wonderful Life,8.6
25,Star Wars,8.6
26,Saving Private Ryan,8.6
27,Interstellar,8.5
28,Sen to Chihiro no kamikakushi,8.5
29,The Green Mile,8.5
30,Gisaengchung,8.5
31,Léon,8.5
32,Seppuku,8.5
33,The Pianist,8.5
34,The Usual Suspects,8.5
35,Terminator 2: Judgment Day,8.5
36,Back to the Future,8.5
37,Psycho,8.5
38,The Lion King,8.5
39,Modern Times,8.5
40,American History X,8.5
41,City Lights,8.5
42,Hotaru no haka,8.5
43,Whiplash,8.5
44,Gladiator,8.5
45,The Departed,8.5
46,The Intouchables,8.5
47,The Prestige,8.5
48,Casablanca,8.4
49,Once Upon a Time in the West,8.4
50,Rear Window,8.4
51,Nuovo Cinema Paradiso,8.4
52,Alien,8.4
53,Apocalypse Now,8.4
54,Memento,8.4
55,Raiders of the Lost Ark,8.4
56,The Great Dictator,8.4
57,The Lives of Others,8.4
58,Django Unchained,8.4
59,Paths of Glory,8.4
60,Sunset Blvd.,8.4
61,WALL·E,8.4
62,Avengers: Infinity War,8.4
63,The Shining,8.4
64,Witness for the Prosecution,8.4
65,Spider-Man: Into the Spider-Verse,8.4
66,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,8.4
67,Joker,8.3
68,Mononoke-hime,8.3
69,Oldeuboi,8.3
70,Kimi no na wa.,8.3
71,The Dark Knight Rises,8.3
72,Once Upon a Time in America,8.3
73,Aliens,8.3
74,Coco,8.3
75,Capharnaüm,8.3
76,Avengers: Endgame,8.3
77,Das Boot,8.3
78,Tengoku to jigoku,8.3
79,Hamilton,8.3
80,American Beauty,8.3
81,Toy Story,8.3
82,3 Idiots,8.3
83,Amadeus,8.3
84,Braveheart,8.3
85,Inglourious Basterds,8.3
86,Good Will Hunting,8.3
87,Star Wars: Episode VI - Return of the Jedi,8.3
88,2001: A Space Odyssey,8.3
89,Reservoir Dogs,8.3
90,M - Eine Stadt sucht einen Mörder,8.3
91,Taare Zameen Par,8.3
92,Vertigo,8.3
93,Idi i smotri,8.3
94,Citizen Kane,8.3
95,Jagten,8.3
96,Requiem for a Dream,8.3
97,Singin' in the Rain,8.3
98,North by Northwest,8.3
99,Eternal Sunshine of the Spotless Mind,8.3
100,Ladri di biciclette,8.3
101,Ikiru,8.3
102,Lawrence of Arabia,8.2
103,Pather Panchali,8.2
104,The Kid,8.2
105,Full Metal Jacket,8.2
106,Dangal,8.2
107,The Father,8.2
108,The Apartment,8.2
109,A Clockwork Orange,8.2
110,Dune,8.2
111,Incendies,8.2
112,Taxi Driver,8.2
113,Metropolis,8.2
114,Double Indemnity,8.2
115,The Sting,8.2
116,Jodaeiye Nader az Simin,8.2
117,Scarface,8.2
118,1917,8.2
119,Snatch,8.2
120,Le fabuleux destin d'Amélie Poulain,8.2
121,To Kill a Mockingbird,8.2
122,Toy Story 3,8.2
123,Per qualche dollaro in più,8.2
124,Up,8.2
125,Indiana Jones and the Last Crusade,8.2
126,L.A. Confidential,8.2
127,Heat,8.2
128,Yôjinbô,8.2
129,Rashômon,8.2
130,Ran,8.2
131,Die Hard,8.2
132,Green Book,8.2
133,Der Untergang,8.2
134,Monty Python and the Holy Grail,8.2
135,All About Eve,8.2
136,Some Like It Hot,8.2
137,Batman Begins,8.2
138,Unforgiven,8.2
139,Bacheha-Ye aseman,8.2
140,Hauru no ugoku shiro,8.2
141,The Wolf of Wall Street,8.2
142,Judgment at Nuremberg,8.2
143,The Great Escape,8.2
144,Casino,8.2
145,The Treasure of the Sierra Madre,8.2
146,There Will Be Blood,8.2
147,Pan's Labyrinth,8.1
148,A Beautiful Mind,8.1
149,El secreto de sus ojos,8.1
150,Raging Bull,8.1
151,Tonari no Totoro,8.1
152,Chinatown,8.1
153,"Lock, Stock and Two Smoking Barrels",8.1
154,Shutter Island,8.1
155,The Gold Rush,8.1
156,No Country for Old Men,8.1
157,Dial M for Murder,8.1
158,Det sjunde inseglet,8.1
159,"Three Billboards Outside Ebbing, Missouri",8.1
160,The Elephant Man,8.1
161,The Thing,8.1
162,The Sixth Sense,8.1
163,Klaus,8.1
164,Smultronstället,8.1
165,The Third Man,8.1
166,The Truman Show,8.1
167,Jurassic Park,8.1
168,V for Vendetta,8.1
169,Inside Out,8.1
170,Salinui chueok,8.1
171,Blade Runner,8.1
172,Trainspotting,8.1
173,The Bridge on the River Kwai,8.1
174,Fargo,8.1
175,Warrior,8.1
176,Finding Nemo,8.1
177,Kill Bill: Vol. 1,8.1
178,Gone with the Wind,8.1
179,Tôkyô monogatari,8.1
180,On the Waterfront,8.1
181,Babam ve Oglum,8.1
182,Z,8.1
183,Stalker,8.1
184,Relatos salvajes,8.1
185,The Deer Hunter,8.1
186,Sherlock Jr.,8.1
187,The General,8.1
188,Gran Torino,8.1
189,Persona,8.1
190,The Grand Budapest Hotel,8.1
191,Prisoners,8.1
192,Before Sunrise,8.1
193,Mary and Max.,8.1
194,Mr. Smith Goes to Washington,8.1
195,Catch Me If You Can,8.1
196,Room,8.1
197,In the Name of the Father,8.1
198,Barry Lyndon,8.1
199,Gone Girl,8.1
200,Hacksaw Ridge,8.1
201,Andhadhun,8.1
202,La passion de Jeanne d'Arc,8.1
203,To Be or Not to Be,8.1
204,Ford v Ferrari,8.1
205,12 Years a Slave,8.1
206,The Big Lebowski,8.1
207,How to Train Your Dragon,8.1
208,Mad Max: Fury Road,8.1
209,Höstsonaten,8.1
210,Dead Poets Society,8.1
211,Ben-Hur,8.1
212,Million Dollar Baby,8.1
213,Harry Potter and the Deathly Hallows: Part 2,8.1
214,Le salaire de la peur,8.1
215,Stand by Me,8.1
216,Ah-ga-ssi,8.1
217,Network,8.1
218,Logan,8.1
219,Cool Hand Luke,8.1
220,Les quatre cents coups,8.0
221,Hachi: A Dog's Tale,8.0
222,Gangs of Wasseypur,8.0
223,La haine,8.0
224,Platoon,8.0
225,Spotlight,8.0
226,Koe no katachi,8.0
227,Eskiya,8.0
228,Rebecca,8.0
229,Life of Brian,8.0
230,"Monsters, Inc.",8.0
231,Hotel Rwanda,8.0
232,Fa Yeung Nin Wah,8.0
233,Rush,8.0
234,Into the Wild,8.0
235,Amores perros,8.0
236,Rocky,8.0
237,Kaze no tani no Naushika,8.0
238,Andrei Rublev,8.0
239,It Happened One Night,8.0
240,Fanny och Alexander,8.0
241,Before Sunset,8.0
242,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",8.0
243,La battaglia di Algeri,8.0
244,Kimetsu no Yaiba: Mugen Ressha-Hen,8.0
245,Trois couleurs: Rouge,8.0
246,The Princess Bride,8.0
247,"Paris, Texas",8.0
248,Le notti di Cabiria,8.0
249,Mandariinid,8.0
250,Du rififi chez les hommes,8.0
